STRIKE PRICE,CALL_PRICE_BSM,PUT_PRICE_BSM,CALL_PRICE_MERTON,PUT_PRICE_MERTON,BSM_KURTOSIS,BSM_SKEWNESS,MERTON_KURTOSIS,MERTON_SKEWNESS
80.0,43.9409026987591,0.06604116761839307,0.019322705000967198,74.65126653886571,0.7358445912297196,0.5929206309251922,568.7758895296618,28.244845862999696
86.3157894736842,38.072566877169606,0.2054701323492003,0.015090160474820993,80.65479878065986,0.5903998762121594,0.5842412065321304,397.1957441222692,21.43323454432281
92.63157894736842,32.38375747841089,0.5244255199107885,0.011688579531537397,86.65916198603688,0.6553802416702785,0.6119998406962669,744.0341910115513,12.215672727684247
98.94736842105263,26.981599776737916,1.1300326045581097,0.00930918730210276,92.66454738012773,0.7326344875453774,0.5793035278654851,261.7127705191632,44.39941557784196
105.26315789473685,21.995273705586317,2.1514713197268156,0.007879977911301695,98.67088295705724,0.7146373983535081,0.6470268214044048,778.0541480549094,39.37183601015332
111.57894736842105,17.52707003905865,3.691032439519447,0.006678424954037637,104.67744619042026,0.6549440338914021,0.6722199892992604,219.7221887312345,18.994826213194465
117.89473684210526,13.654770436320598,5.826497623101682,0.005476871996773578,110.68400942378328,0.7081486776220243,0.5844340060882977,411.05162313994975,11.840721947914766
124.21052631578948,10.388758353334307,8.5682503264357,0.004275319039509516,116.69057265714635,0.7915973531666753,0.5173909616116361,399.2784342656145,18.05324943617964
130.5263157894737,7.73410181555402,11.921358574975718,0.0030737660822454547,122.69713589050941,0.87582834096927,0.6924272492310443,235.0498182061526,14.215234456487751
136.8421052631579,5.640765478865492,15.83578702460747,0.0018722131249813987,128.70369912387238,0.7510268742421999,0.5927442915579352,178.60998560185192,69.36660511054485
143.1578947368421,4.030145577275389,20.23293190933768,0.0006706601677173371,134.71026235723548,0.7988975946665526,0.6369509828849892,221.35637703745655,29.354044440113697
149.4736842105263,2.845465777050344,25.05601689543291,0.0,140.717356483388,0.7838744061883558,0.597102951699643,488.5845430310248,10.869521696444561
155.78947368421052,1.9717700546637875,30.190085959366666,0.0,146.7251212697083,0.6648908040628063,0.6200091775002298,715.5287665226377,10.09044477110217
162.10526315789474,1.3333356835388879,35.55941637456207,0.0,152.7328860560286,0.5801260579851637,0.6236489400158511,370.8330977598084,48.800278997059365
168.42105263157896,0.8819054256838406,41.11575090302733,0.0,158.74065084234894,0.6625237633168752,0.6444308483494748,703.9045274479768,14.892056805693757
174.73684210526318,0.5792048959053232,46.82081515956912,0.0,164.74841562866925,0.9372168791097981,0.6359034552155104,691.9172551540881,22.69728311008775
181.05263157894737,0.36826274721106095,52.61763779719514,0.0,170.75618041498953,0.941941805723427,0.6435710725274417,139.26352894821082,14.08414006966423
187.36842105263156,0.23007510837388648,58.48721494467826,0.0,176.76394520130978,0.7444611918906063,0.5412907746417557,338.83168657582695,23.991183003176626
193.68421052631578,0.1416616324867261,64.4065662551114,0.0,182.7717099876301,0.680486419937246,0.5931268220940379,187.3750615800934,15.846912214465151
200.0,0.08875297097495266,70.36142237991993,0.0,188.7794747739504,0.7771421064091153,0.6007663375636829,384.9361872302104,26.02514616264703
