STRIKE PRICE,CALL_PRICE,PUT_PRICE
80.0,2.7797432627504235,68.93496838328537
86.3157894736842,2.6414633914792516,74.80445329833448
92.63157894736842,2.5136994695145813,80.68445416269013
98.94736842105263,2.3983773769732037,86.57689685646903
105.26315789473685,2.295230922198955,92.4815151880151
111.57894736842105,2.2031431215550334,98.39719217369147
117.89473684210526,2.119867018832963,104.32168085728969
124.21052631578948,2.0418327149849547,110.25141133976199
130.5263157894737,1.9687712393417718,116.18611465043912
136.8421052631579,1.8992579229076219,122.12436612032523
143.1578947368421,1.8323247232437565,128.06519770698168
149.4736842105263,1.768069381775016,134.00870715183322
155.78947368421052,1.708653188177792,139.95705574455633
162.10526315789474,1.652714440830897,145.90888178352972
168.42105263157896,1.6003066644885513,151.86423879350767
174.73684210526318,1.5534729631280673,157.82516987846748
181.05263157894737,1.511771177161297,163.79123287882103
187.36842105263156,1.4726998910003677,169.7599263789804
193.68421052631578,1.4340955372697137,175.72908681157
200.0,1.3959064849783918,181.698662545599
