STRIKE PRICE,CALL_PRICE,PUT_PRICE
80.0,2.615857344587236,69.39925441203142
86.3157894736842,2.5008185512134093,75.2919804049779
92.63157894736842,2.397647587583633,81.19657422766842
98.94736842105263,2.3031411290332824,87.10983255543837
105.26315789473685,2.214877386757172,93.02933359948257
111.57894736842105,2.131958295103582,98.95417929414928
117.89473684210526,2.0517159431931895,104.88170172855916
124.21052631578948,1.974295537623775,110.81204610931006
130.5263157894737,1.9024794665646365,116.74799482457125
136.8421052631579,1.8355417032834958,122.68882184761036
143.1578947368421,1.7724915464433022,128.63353647709047
149.4736842105263,1.7118777717108613,134.58068748867834
155.78947368421052,1.6547906220892847,140.53136512537708
162.10526315789474,1.6005502636573268,146.48488955326542
168.42105263157896,1.549767438129227,152.4418715140576
174.73684210526318,1.5016977880895985,158.4015666503383
181.05263157894737,1.4555906811610064,164.36322432973
187.36842105263156,1.411693664222196,170.32709209911147
193.68421052631578,1.3693365892919498,176.2924998105015
200.0,1.3298244477489525,182.26075245527883
