Strike Price,Black Scholes Call Price,Black Scholes Put Price,Monte Carlo Call Price,Monte Carlo Put Price,PERCENT_ERROR_CALL_PRICES,PERCENT_ERROR_PUT_PRICES
80,31.792518019976633,7.890871980033751,31.878628489612776,7.918564771940162,-0.2708513669223558,-0.3509471700527216
85,28.972792764564893,9.827293847125596,28.898890706207624,10.017377066238225,0.25507398944176113,-1.9342376657255207
90,26.372714880562448,11.983363085626713,26.806410307969706,12.002491621702159,-1.6444853302793863,-0.1596257739898501
95,23.98294654640665,14.349741873974487,23.616244870112958,14.286889877920943,1.5290101055103111,0.4380008825631619
100,21.79260421286685,16.915546662938254,21.73760049332049,16.79253167888487,0.2523962671422449,0.7272303195669597
105,19.78984228873557,19.668931861310554,19.825857924105964,19.59765844835459,-0.18199051232911406,0.3623654474911341
110,17.962324329142938,22.59756102422149,18.152809930335742,22.50421495916461,-1.0604730084054417,0.41308026541814374
115,16.29759203971218,25.688975857294288,16.129193140765118,25.630122011815445,1.0332747226505898,0.22910156405527587
120,14.783345480368276,28.930876420453963,14.575382498796863,29.065874834449758,1.4067382910558357,-0.46662400417414346
125,13.407648589625062,32.311326652214326,13.418885618011071,32.35294141795855,-0.0838105825260425,-0.12879312010969088
130,12.159073531985058,35.818898717077886,12.555179714104082,35.82652979438278,-3.2577003591354727,-0.021304611750262215
135,11.026796047741911,39.442768355338316,10.6674376264703,39.58169431043484,3.258955908096276,-0.3522216134652279
140,10.000652368632615,43.17277179873258,9.841675811946633,43.07576320285855,1.5896618623062746,0.2246985584485399
145,9.071166602973289,46.999433155576824,8.65887414522097,46.952559817812826,4.545087482101586,0.0997317086970781
150,8.229555929370317,50.9139696044774,7.877022247616087,50.90284856135996,4.28375096760785,0.0218428128936608
155,7.467719537880864,54.90828033549154,7.258335618770823,54.870751382039025,2.803853546560196,0.06834844075103415
160,6.778216047360129,58.97492396747438,6.949477754699436,59.019095889878926,-2.5266486955075402,-0.07489949869016498
165,6.154233108064741,63.10708815068254,6.092044318253132,63.06358252378822,1.0105042938674904,0.06893936666899163
170,5.589552056012295,67.2985542211337,5.841728331164546,67.35518589537745,-4.511565016753051,-0.08414991213282631
175,5.078509800282479,71.54365908790741,5.109873918181076,71.53436949597999,-0.6175850619969848,0.012984507706004537
180,4.615959574469423,75.83725598459795,4.824647798581974,75.65790466368863,-4.521014986066851,0.2364950031231935
185,4.197231747375449,80.17467528000752,4.078523952783389,80.17092314097323,2.828240176785303,0.004679955386393588
190,3.8180955460539288,84.55168620118957,3.592347679223911,84.48313200841056,5.912577726435689,0.08107962816481311
195,3.474722279085194,88.9644600567244,3.6322077384753344,88.95701749232013,-4.532317887333499,0.008365772578765161
