STRIKE PRICES,CALL_MONTE_CARLO,PUT_MONTE_CARLO
50.0,0.0014381048536016973,49.907984696311516
55.172413793103445,0.008213066366822678,44.96438361831195
60.3448275862069,0.019287252913218804,39.931525291042526
65.51724137931035,0.051775424114186286,34.80197710087927
70.6896551724138,0.13188242511577933,29.97236102204246
75.86206896551724,0.2803449595223474,25.035621717692297
81.0344827586207,0.5479585285060187,20.3496005003272
86.20689655172414,1.0519384589950136,15.901928840182158
91.37931034482759,1.7489228431131125,11.868652072313765
96.55172413793103,3.188671168993196,7.79006214701292
101.72413793103448,5.368362320732586,5.065888680909034
106.89655172413794,8.266707347408548,3.1085816287230434
112.06896551724138,12.079646134904596,1.744834560059517
117.24137931034483,16.05702334966538,0.9789379265641934
122.41379310344828,20.90202577072288,0.5462172556472433
127.58620689655173,25.71596356620654,0.2862376759409698
132.75862068965517,30.697922559622235,0.14114705540127567
137.9310344827586,35.34503390909566,0.06813795330833798
143.10344827586206,40.73304408509134,0.025714251321864313
148.27586206896552,45.464638611104654,0.015782834632445807
153.44827586206895,50.392057478625134,0.005581417590455779
158.6206896551724,55.28614999025458,0.0013922680075067696
163.79310344827587,60.25635697369658,0.001651301744894728
168.9655172413793,65.53135301818355,0.00018775315005233747
174.13793103448276,70.39946204275644,2.7201328896207357e-05
179.31034482758622,75.5641883725545,1.4059993799168459e-05
184.48275862068965,80.43314399840357,1.0258166403582473e-05
189.6551724137931,85.50377119056778,0.0
194.82758620689657,90.55484080300133,0.0
200.0,95.67235465035412,0.0
